source_id,source_origin_time,source_latitude_deg,source_longitude_deg,source_depth_km,source_magnitude,source_magnitude_type,strike,dip,rake,mechanism_type,solution_source,estimated_quality,zncc,preliminary_estimated_quality,polarity_validation,pred_usable_polarity_count,pred_polarity_match_ratio
10332511,2016-11-21T17:42:27.17Z,42.9753,13.0792,8.3,3,ML,342,40,-78,normal,model_prediction,moderate,0.809969306,moderate,strong,10,0.8
10743081,2016-11-29T04:49:56.56Z,43.0097,13.0677,8,3,ML,19,89,-14,strike_slip,model_prediction,moderate,0.8064394,moderate,acceptable,11,0.727272727
8157641,2016-09-21T07:07:24.02Z,42.803,13.1547,8.8,3.4,ML,249,21,-21,strike_slip,model_prediction,moderate,0.846701503,high,acceptable,9,0.666666667
10239411,2016-11-20T01:41:52.49Z,42.6395,13.2127,9.5,3.2,ML,358,73,-81,normal,model_prediction,high,0.864593863,high,strong,12,0.75
17347791,2017-10-15T16:43:32.59Z,42.8178,13.0733,7.8,3.2,ML,307,73,-50,normal,model_prediction,high,0.813794136,high,strong,10,0.9
7648851,2016-09-03T21:20:16.49Z,42.7813,13.1192,7.3,3.1,ML,330,43,-88,normal,model_prediction,high,0.824640155,high,strong,15,0.8
11041921,2016-12-04T20:22:20.58Z,43.0415,13.0985,7.8,3.5,ML,106,86,-174,strike_slip,model_prediction,high,0.826149464,high,strong,18,0.944444444
9336551,2016-11-05T08:17:40.92Z,42.6955,13.1488,11,3.4,ML,303,0,69,thrust,model_prediction,high,0.848844349,high,strong,17,0.941176471
15408271,2017-05-19T08:02:08.59Z,42.82,13.1327,10.7,3.3,ML,114,82,-171,strike_slip,model_prediction,high,0.839300931,high,strong,14,0.857142857
13747661,2017-02-21T17:45:38.96Z,42.804,13.1337,10.4,3,ML,119,83,-68,normal,model_prediction,high,0.810545564,high,strong,11,0.727272727
14170691,2017-03-14T17:15:17.53Z,42.3672,13.3422,10,3.2,ML,131,55,-114,normal,model_prediction,high,0.865471125,high,strong,10,0.8
